#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
13,8,4.486775735024056e-09,5.45129327842409e-08,18.384776299736373,129.1496474457368,19.307737597485474,62.1663037622348
13,9,2.757285687598287e-08,nan,18.384776299774476,129.14964744895389,19.30773759760152,62.166303762663574
13,10,nan,4.169901656008706e-07,18.384776299809975,129.14964744880174,19.307737597617887,62.16630376264457
13,11,nan,nan,18.384776299809975,129.14964760432576,19.30773759761788,62.16630379998493
13,12,1.4003670201712297e-08,nan,18.384776299809975,129.14964744881513,19.30773759761788,62.16630376264832
13,13,2.044892318296727e-08,nan,18.384776299809975,129.14964744881513,19.30773759761788,62.166303762648276
13,14,nan,1.3163240604713029e-05,18.384776299809975,129.14964744880893,19.30773759761788,62.16630376264688
13,15,nan,nan,18.384776299809975,129.14964744880874,19.30773759761788,62.16630376264642
13,16,nan,1.5822062835015913e-05,18.384776299809975,129.1496474487988,19.30773759761788,62.166303762642386
13,17,nan,nan,18.384776299809975,129.14964744881317,19.30773759761788,62.16630376264928
13,18,nan,1.4711777655772853e-05,18.384776299809975,129.14964744880845,19.30773759761788,62.16630376264646
13,19,nan,1.162904058623755e-05,18.384776299809975,129.14964744881541,19.30773759761788,62.16630376264828
13,20,nan,nan,18.384776299809975,129.14964744881604,19.30773759761788,62.16630376264938
14,2,nan,9.298387684403392e-08,19.7989836157004,138.98813674033926,20.7753429775643,66.93894942530471
14,3,nan,nan,19.79898987290963,139.08376779036305,20.794346117920046,66.94165637676977
14,4,3.5081714766649035e-08,1.1864388714442101e-07,19.798989878181537,139.08423435695386,20.79376066560561,66.94700878813677
14,5,2.9119932850109034e-08,5.753984345576695e-08,19.798989877790806,139.08423570858403,20.793761766721044,66.94697197774073
14,6,2.8921977090989806e-08,nan,19.79898987773653,139.084235711168,20.7937615746887,66.94698024333151
14,7,3.750792585826711e-08,nan,19.798989879297096,139.08423570057565,20.793761564289607,66.9469802098859
14,8,4.013331021902085e-08,nan,19.79898987814146,139.08423570880623,20.793761563061256,66.9469802191014
